stockcode,stockname,industry,change%,MarketCap,display
1880,CTG DUTY-FREE,Consumer Discretionary,-2.56,145665703936,1880<BR>CTG DUTY-FREE<BR>-2.56%<BR><a target='_self' href='../quote/1880'>quote</a>
1882,HAITIAN INT'L,Industrials,2.19,31999799296,1882<BR>HAITIAN INT'L<BR>+2.19%<BR><a target='_self' href='../quote/1882'>quote</a>
1883,CITIC TELECOM,Telecommunications,0.43,8549056000,1883<BR>CITIC TELECOM<BR>+0.43%<BR><a target='_self' href='../quote/1883'>quote</a>
1888,KB LAMINATES,Industrials,-2.77,21964800000,1888<BR>KB LAMINATES<BR>-2.77%<BR><a target='_self' href='../quote/1888'>quote</a>
1890,CHINA KEPEI,Consumer Discretionary,-0.73,2739379968,1890<BR>CHINA KEPEI<BR>-0.73%<BR><a target='_self' href='../quote/1890'>quote</a>
1896,MAOYAN ENT,Consumer Discretionary,-3.55,9060967424,1896<BR>MAOYAN ENT<BR>-3.55%<BR><a target='_self' href='../quote/1896'>quote</a>
1898,CHINA COAL,Energy,0.34,152560812032,1898<BR>CHINA COAL<BR>+0.34%<BR><a target='_self' href='../quote/1898'>quote</a>
1907,CHINA RISUN GP,Materials,-1.05,12251348992,1907<BR>CHINA RISUN GP<BR>-1.05%<BR><a target='_self' href='../quote/1907'>quote</a>
1908,C&D INTL GROUP,Properties & Construction,-3.0,22737534976,1908<BR>C&D INTL GROUP<BR>-3.0%<BR><a target='_self' href='../quote/1908'>quote</a>
1910,SAMSONITE,Consumer Discretionary,-1.62,29759350784,1910<BR>SAMSONITE<BR>-1.62%<BR><a target='_self' href='../quote/1910'>quote</a>
1913,PRADA,Consumer Discretionary,0.16,160949780480,1913<BR>PRADA<BR>+0.16%<BR><a target='_self' href='../quote/1913'>quote</a>
1918,SUNAC,Properties & Construction,-3.8,20873330688,1918<BR>SUNAC<BR>-3.8%<BR><a target='_self' href='../quote/1918'>quote</a>
1919,COSCO SHIP HOLD,Industrials,0.94,247642439680,1919<BR>COSCO SHIP HOLD<BR>+0.94%<BR><a target='_self' href='../quote/1919'>quote</a>
1928,SANDS CHINA LTD,Consumer Discretionary,-5.75,165914296320,1928<BR>SANDS CHINA LTD<BR>-5.75%<BR><a target='_self' href='../quote/1928'>quote</a>
1929,CHOW TAI FOOK,Consumer Discretionary,-1.51,65120063488,1929<BR>CHOW TAI FOOK<BR>-1.51%<BR><a target='_self' href='../quote/1929'>quote</a>
1942,MOG DIGITECH,Consumer Discretionary,-0.93,996629056,1942<BR>MOG DIGITECH<BR>-0.93%<BR><a target='_self' href='../quote/1942'>quote</a>
1951,JXR,Healthcare,-1.43,7602846208,1951<BR>JXR<BR>-1.43%<BR><a target='_self' href='../quote/1951'>quote</a>
1952,EVEREST MED-B,Healthcare,2.39,15196114944,1952<BR>EVEREST MED-B<BR>+2.39%<BR><a target='_self' href='../quote/1952'>quote</a>
1958,BAIC MOTOR,Consumer Discretionary,0.43,18755895296,1958<BR>BAIC MOTOR<BR>+0.43%<BR><a target='_self' href='../quote/1958'>quote</a>
1972,SWIREPROPERTIES,Properties & Construction,-1.38,91229765632,1972<BR>SWIREPROPERTIES<BR>-1.38%<BR><a target='_self' href='../quote/1972'>quote</a>
1988,MINSHENG BANK,Financials,1.8,185728614400,1988<BR>MINSHENG BANK<BR>+1.8%<BR><a target='_self' href='../quote/1988'>quote</a>
1992,FOSUN TOURISM,Consumer Discretionary,-0.13,9207598080,1992<BR>FOSUN TOURISM<BR>-0.13%<BR><a target='_self' href='../quote/1992'>quote</a>
1997,WHARF REIC,Properties & Construction,-1.69,59995901952,1997<BR>WHARF REIC<BR>-1.69%<BR><a target='_self' href='../quote/1997'>quote</a>
1999,MAN WAH HLDGS,Consumer Discretionary,0.85,18380724224,1999<BR>MAN WAH HLDGS<BR>+0.85%<BR><a target='_self' href='../quote/1999'>quote</a>
2005,SSY GROUP,Healthcare,-1.41,10338684928,2005<BR>SSY GROUP<BR>-1.41%<BR><a target='_self' href='../quote/2005'>quote</a>
2013,WEIMOB INC,Consumer Discretionary,2.09,10463194112,2013<BR>WEIMOB INC<BR>+2.09%<BR><a target='_self' href='../quote/2013'>quote</a>
2015,LI AUTO-W,Consumer Discretionary,-1.64,209655578624,2015<BR>LI AUTO-W<BR>-1.64%<BR><a target='_self' href='../quote/2015'>quote</a>
2018,AAC TECH,Industrials,-1.57,43884376064,2018<BR>AAC TECH<BR>-1.57%<BR><a target='_self' href='../quote/2018'>quote</a>
2020,ANTA SPORTS,Consumer Discretionary,-2.44,218473316352,2020<BR>ANTA SPORTS<BR>-2.44%<BR><a target='_self' href='../quote/2020'>quote</a>
2038,FIH,Information Technology,1.15,6938359808,2038<BR>FIH<BR>+1.15%<BR><a target='_self' href='../quote/2038'>quote</a>
2039,CIMC,Industrials,0.18,36364623872,2039<BR>CIMC<BR>+0.18%<BR><a target='_self' href='../quote/2039'>quote</a>
2057,ZTO EXPRESS-W,Industrials,0.07,122508763136,2057<BR>ZTO EXPRESS-W<BR>+0.07%<BR><a target='_self' href='../quote/2057'>quote</a>
2096,SIMCERE PHARMA,Healthcare,0.59,17006430208,2096<BR>SIMCERE PHARMA<BR>+0.59%<BR><a target='_self' href='../quote/2096'>quote</a>
2099,CHINAGOLDINTL,Materials,0.93,15024092160,2099<BR>CHINAGOLDINTL<BR>+0.93%<BR><a target='_self' href='../quote/2099'>quote</a>
2105,LAEKNA-B,Healthcare,-5.74,3465755904,2105<BR>LAEKNA-B<BR>-5.74%<BR><a target='_self' href='../quote/2105'>quote</a>
2121,AINNOVATION,Information Technology,-6.3,3341543168,2121<BR>AINNOVATION<BR>-6.3%<BR><a target='_self' href='../quote/2121'>quote</a>
2128,CHINA LESSO,Properties & Construction,0.0,10624032768,2128<BR>CHINA LESSO<BR>+0.0%<BR><a target='_self' href='../quote/2128'>quote</a>
2137,BRII-B,Healthcare,-1.0,723675200,2137<BR>BRII-B<BR>-1.0%<BR><a target='_self' href='../quote/2137'>quote</a>
2138,EC HEALTHCARE,Healthcare,-1.45,799170048,2138<BR>EC HEALTHCARE<BR>-1.45%<BR><a target='_self' href='../quote/2138'>quote</a>
2145,CHICMAX,Consumer Discretionary,0.85,14169689088,2145<BR>CHICMAX<BR>+0.85%<BR><a target='_self' href='../quote/2145'>quote</a>
2150,NAYUKI,Consumer Discretionary,-3.55,2318813696,2150<BR>NAYUKI<BR>-3.55%<BR><a target='_self' href='../quote/2150'>quote</a>
2157,LEPU BIO-B,Healthcare,-1.9,4430479872,2157<BR>LEPU BIO-B<BR>-1.9%<BR><a target='_self' href='../quote/2157'>quote</a>
2158,YIDU TECH,Healthcare,-2.43,5093004800,2158<BR>YIDU TECH<BR>-2.43%<BR><a target='_self' href='../quote/2158'>quote</a>
2160,CARDIOFLOW-B,Healthcare,-1.45,1617434368,2160<BR>CARDIOFLOW-B<BR>-1.45%<BR><a target='_self' href='../quote/2160'>quote</a>
2162,KEYMED BIO-B,Healthcare,1.18,8321579520,2162<BR>KEYMED BIO-B<BR>+1.18%<BR><a target='_self' href='../quote/2162'>quote</a>
2171,CARSGEN-B,Healthcare,4.89,4830214656,2171<BR>CARSGEN-B<BR>+4.89%<BR><a target='_self' href='../quote/2171'>quote</a>
2172,MICROPORT NEURO,Healthcare,-1.48,4999452672,2172<BR>MICROPORT NEURO<BR>-1.48%<BR><a target='_self' href='../quote/2172'>quote</a>
2186,LUYE PHARMA,Healthcare,0.0,8275674112,2186<BR>LUYE PHARMA<BR>+0.0%<BR><a target='_self' href='../quote/2186'>quote</a>
2192,MEDLIVE,Healthcare,-1.24,6998727168,2192<BR>MEDLIVE<BR>-1.24%<BR><a target='_self' href='../quote/2192'>quote</a>
2196,FOSUN PHARMA,Healthcare,-0.28,65113227264,2196<BR>FOSUN PHARMA<BR>-0.28%<BR><a target='_self' href='../quote/2196'>quote</a>
2202,CHINA VANKE,Properties & Construction,-6.08,84597972992,2202<BR>CHINA VANKE<BR>-6.08%<BR><a target='_self' href='../quote/2202'>quote</a>
2208,GOLDWIND,Industrials,-0.6,43024187392,2208<BR>GOLDWIND<BR>-0.6%<BR><a target='_self' href='../quote/2208'>quote</a>
2233,WESTCHINACEMENT,Properties & Construction,1.83,9122424832,2233<BR>WESTCHINACEMENT<BR>+1.83%<BR><a target='_self' href='../quote/2233'>quote</a>
2238,GAC GROUP,Consumer Discretionary,-0.87,96298647552,2238<BR>GAC GROUP<BR>-0.87%<BR><a target='_self' href='../quote/2238'>quote</a>
2252,MEDBOT-B,Healthcare,-3.83,10102148096,2252<BR>MEDBOT-B<BR>-3.83%<BR><a target='_self' href='../quote/2252'>quote</a>
2255,HAICHANG HLDG,Consumer Discretionary,0.0,4706119680,2255<BR>HAICHANG HLDG<BR>+0.0%<BR><a target='_self' href='../quote/2255'>quote</a>
2257,SIRNAOMICS-B,Healthcare,0.57,370417632,2257<BR>SIRNAOMICS-B<BR>+0.57%<BR><a target='_self' href='../quote/2257'>quote</a>
2269,WUXI BIO,Healthcare,0.92,71823851520,2269<BR>WUXI BIO<BR>+0.92%<BR><a target='_self' href='../quote/2269'>quote</a>
2273,GUSHENGTANG,Healthcare,2.08,7647552000,2273<BR>GUSHENGTANG<BR>+2.08%<BR><a target='_self' href='../quote/2273'>quote</a>
2279,YONGHE MEDICAL,Healthcare,-2.33,420204960,2279<BR>YONGHE MEDICAL<BR>-2.33%<BR><a target='_self' href='../quote/2279'>quote</a>
2282,MGM CHINA,Consumer Discretionary,-3.95,36046815232,2282<BR>MGM CHINA<BR>-3.95%<BR><a target='_self' href='../quote/2282'>quote</a>
2285,CHERVON,Consumer Discretionary,0.57,8974108672,2285<BR>CHERVON<BR>+0.57%<BR><a target='_self' href='../quote/2285'>quote</a>
2291,SCIENTECH,Healthcare,-0.22,6186020352,2291<BR>SCIENTECH<BR>-0.22%<BR><a target='_self' href='../quote/2291'>quote</a>
2313,SHENZHOU INTL,Consumer Discretionary,-3.44,90719322112,2313<BR>SHENZHOU INTL<BR>-3.44%<BR><a target='_self' href='../quote/2313'>quote</a>
2314,LEE & MAN PAPER,Materials,0.42,10308000768,2314<BR>LEE & MAN PAPER<BR>+0.42%<BR><a target='_self' href='../quote/2314'>quote</a>
2318,PING AN,Financials,-0.54,950199386112,2318<BR>PING AN<BR>-0.54%<BR><a target='_self' href='../quote/2318'>quote</a>
2319,MENGNIU DAIRY,Consumer Staples,-1.38,67125207040,2319<BR>MENGNIU DAIRY<BR>-1.38%<BR><a target='_self' href='../quote/2319'>quote</a>
2328,PICC P&C,Financials,-0.49,270472445952,2328<BR>PICC P&C<BR>-0.49%<BR><a target='_self' href='../quote/2328'>quote</a>
2331,LI NING,Consumer Discretionary,-2.66,41507389440,2331<BR>LI NING<BR>-2.66%<BR><a target='_self' href='../quote/2331'>quote</a>
2333,GWMOTOR,Consumer Discretionary,-0.9,203736530944,2333<BR>GWMOTOR<BR>-0.9%<BR><a target='_self' href='../quote/2333'>quote</a>
2338,WEICHAI POWER,Industrials,2.04,125774880768,2338<BR>WEICHAI POWER<BR>+2.04%<BR><a target='_self' href='../quote/2338'>quote</a>
2343,PACIFIC BASIN,Industrials,0.61,8558877184,2343<BR>PACIFIC BASIN<BR>+0.61%<BR><a target='_self' href='../quote/2343'>quote</a>
2356,DAHSING BANKING,Financials,2.18,11203827712,2356<BR>DAHSING BANKING<BR>+2.18%<BR><a target='_self' href='../quote/2356'>quote</a>
2357,AVICHINA,Industrials,1.83,31014387712,2357<BR>AVICHINA<BR>+1.83%<BR><a target='_self' href='../quote/2357'>quote</a>
2359,WUXI APPTEC,Healthcare,2.88,171484676096,2359<BR>WUXI APPTEC<BR>+2.88%<BR><a target='_self' href='../quote/2359'>quote</a>
2362,JINCHUAN INTL,Materials,1.89,6626112512,2362<BR>JINCHUAN INTL<BR>+1.89%<BR><a target='_self' href='../quote/2362'>quote</a>
2367,GIANT BIOGENE,Healthcare,-2.89,49626656768,2367<BR>GIANT BIOGENE<BR>-2.89%<BR><a target='_self' href='../quote/2367'>quote</a>
2378,PRU,Financials,0.96,166793756672,2378<BR>PRU<BR>+0.96%<BR><a target='_self' href='../quote/2378'>quote</a>
2380,CHINA POWER,Utilities,0.66,37976510464,2380<BR>CHINA POWER<BR>+0.66%<BR><a target='_self' href='../quote/2380'>quote</a>
2382,SUNNY OPTICAL,Industrials,-0.71,76215173120,2382<BR>SUNNY OPTICAL<BR>-0.71%<BR><a target='_self' href='../quote/2382'>quote</a>
2388,BOC HONG KONG,Financials,0.4,264848637952,2388<BR>BOC HONG KONG<BR>+0.4%<BR><a target='_self' href='../quote/2388'>quote</a>
2390,ZHIHU-W,Consumer Discretionary,-0.21,2467587840,2390<BR>ZHIHU-W<BR>-0.21%<BR><a target='_self' href='../quote/2390'>quote</a>
2400,XD INC,Information Technology,-3.89,11975671808,2400<BR>XD INC<BR>-3.89%<BR><a target='_self' href='../quote/2400'>quote</a>
2407,GAUSH MEDITECH,Healthcare,-1.61,1446344576,2407<BR>GAUSH MEDITECH<BR>-1.61%<BR><a target='_self' href='../quote/2407'>quote</a>
2411,PAGODA GP,Consumer Staples,1.52,2069442304,2411<BR>PAGODA GP<BR>+1.52%<BR><a target='_self' href='../quote/2411'>quote</a>
2415,MEDSCI,Healthcare,0.0,460823264,2415<BR>MEDSCI<BR>+0.0%<BR><a target='_self' href='../quote/2415'>quote</a>
2416,EDIANYUN,Information Technology,1.81,903972608,2416<BR>EDIANYUN<BR>+1.81%<BR><a target='_self' href='../quote/2416'>quote</a>
2423,BEKE-W,Properties & Construction,-0.32,169801564160,2423<BR>BEKE-W<BR>-0.32%<BR><a target='_self' href='../quote/2423'>quote</a>
2469,FENBI,Consumer Discretionary,-2.3,5682317824,2469<BR>FENBI<BR>-2.3%<BR><a target='_self' href='../quote/2469'>quote</a>
2487,CUTIA-B,Healthcare,-1.39,1951488896,2487<BR>CUTIA-B<BR>-1.39%<BR><a target='_self' href='../quote/2487'>quote</a>
