Pairs,Sharpe,Simple_rtn,STD,Trading_times,Holding_days,Total_days,Comm
MA_20 MA_30,-0.12904870151055156,0.012503891300690517,0.009750610317489682,218.0,2917.0,4936.0,0.0
MA_20 MA_31,-0.15823092092444552,0.15526420962441745,0.009754809105152577,202.0,2935.0,4936.0,0.0
MA_20 MA_32,0.13791871955667065,0.09992398474431541,0.009950762962051973,190.0,2955.0,4936.0,0.0
MA_20 MA_33,0.21150938380443926,0.19413046955903868,0.010014212883467918,194.0,2967.0,4936.0,0.0
MA_20 MA_34,0.2320576052784689,0.2861141265950875,0.01004465886293243,176.0,2978.0,4936.0,0.0
MA_20 MA_35,0.4714316030032967,0.5074041427335503,0.010242423022109981,168.0,2993.0,4936.0,0.0
MA_20 MA_36,0.4907468853289288,0.41725205073906,0.010243672627262926,166.0,2994.0,4936.0,0.0
MA_20 MA_37,0.26772988358952965,0.343864945465169,0.010458709283153445,158.0,2995.0,4936.0,0.0
MA_20 MA_38,0.3830980069677591,0.4692385498474432,0.010520978334904955,154.0,3007.0,4936.0,0.0
MA_20 MA_39,0.416138944631467,0.7452974727238164,0.010525428565575656,152.0,3010.0,4936.0,0.0
MA_20 MA_40,0.37623427863207876,0.5243083253766905,0.010520558442130222,146.0,3026.0,4936.0,0.0
MA_20 MA_41,0.3762342786320776,0.533033804485535,0.010520558442130219,140.0,3028.0,4936.0,0.0
MA_20 MA_42,0.37623427863207853,0.6424553644078685,0.01052055844213023,138.0,3025.0,4936.0,0.0
MA_20 MA_43,0.6206307966811582,0.7101942810072168,0.01044982531115051,134.0,3026.0,4936.0,0.0
MA_20 MA_44,0.6206307966811567,0.7627941829767959,0.010449825311150511,128.0,3033.0,4936.0,0.0
MA_20 MA_45,0.6600647111285841,0.8328576930292,0.010455502607489574,132.0,3038.0,4936.0,0.0
MA_20 MA_46,0.43528674461819733,0.7402431234004132,0.010219014447897507,130.0,3039.0,4936.0,0.0
MA_20 MA_47,0.1762456621898716,0.5341387213661755,0.010268714162771106,126.0,3038.0,4936.0,0.0
MA_20 MA_48,0.24270281762753687,0.6540003235679495,0.010289184140089709,126.0,3037.0,4936.0,0.0
MA_20 MA_49,0.3287263033249574,0.5623896899544818,0.010306013154960702,120.0,3048.0,4936.0,0.0
MA_20 MA_50,0.2042312495380946,0.48310159645328543,0.010325490657671469,118.0,3058.0,4936.0,0.0
MA_20 MA_51,0.2042312495380945,0.579085495822359,0.010325490657671474,116.0,3069.0,4936.0,0.0
MA_20 MA_52,0.30253876372235206,0.8002982651691661,0.01027102336561156,118.0,3091.0,4936.0,0.0
MA_20 MA_53,0.3025387637223507,0.8660983118723808,0.01027102336561156,110.0,3122.0,4936.0,0.0
MA_20 MA_54,0.3417402470129408,0.8736267045749058,0.01027755064331945,112.0,3133.0,4936.0,0.0
MA_20 MA_55,0.4062058598785769,0.9504292043311107,0.010258237145936011,108.0,3133.0,4936.0,0.0
MA_20 MA_56,0.39205150008444895,0.9722494345266313,0.01026741852593941,104.0,3153.0,4936.0,0.0
MA_20 MA_57,0.40719198272613255,1.0036816725077458,0.0102661451247142,102.0,3166.0,4936.0,0.0
MA_20 MA_58,0.2770956863219583,1.1741085091856185,0.01032444703300846,94.0,3169.0,4936.0,0.0
MA_20 MA_59,0.23436496566145243,1.1367943662729378,0.010333434978028435,92.0,3169.0,4936.0,0.0
MA_20 MA_60,0.07039604387260356,1.0762228475052438,0.010264894334539537,92.0,3167.0,4936.0,0.0
MA_20 MA_61,0.08046694303637275,0.8264417846861916,0.01034068177391532,92.0,3167.0,4936.0,0.0
MA_20 MA_62,0.09184750891394877,0.8602834189647006,0.010339974230785337,92.0,3166.0,4936.0,0.0
MA_20 MA_63,-0.018037817444371575,0.9376002671223529,0.010287486376668478,90.0,3159.0,4936.0,0.0
MA_20 MA_64,0.0838177783361996,1.347264374931128,0.010314507765032312,88.0,3154.0,4936.0,0.0
MA_20 MA_65,0.07765507032421248,1.3477843338586415,0.010314970330414733,86.0,3141.0,4936.0,0.0
MA_20 MA_66,0.08269748766944322,1.326170556211978,0.010315067592399313,80.0,3144.0,4936.0,0.0
MA_20 MA_67,-0.03713417650901221,1.164719662861407,0.010422947571892698,80.0,3145.0,4936.0,0.0
MA_20 MA_68,-0.05768359877436914,1.1472813063255534,0.010425161241011428,80.0,3154.0,4936.0,0.0
MA_20 MA_69,0.0005248921236813098,1.2405212020775949,0.01045871890818686,80.0,3146.0,4936.0,0.0
MA_20 MA_70,-0.057397402171636996,1.3174668247812038,0.010451840204879501,78.0,3146.0,4936.0,0.0
MA_20 MA_71,-0.0573974021716371,1.196734395077839,0.010451840204879482,80.0,3143.0,4936.0,0.0
MA_20 MA_72,-0.02970785719660086,1.2070811509743238,0.010447816086483942,80.0,3148.0,4936.0,0.0
MA_20 MA_73,0.009915753574108033,1.2095781689679748,0.010439634345689773,80.0,3144.0,4936.0,0.0
MA_20 MA_74,0.002138911897149901,1.1118803087683928,0.01043934559951749,80.0,3152.0,4936.0,0.0
MA_20 MA_75,-0.055653254999825374,0.924254776931301,0.010422157846924483,82.0,3147.0,4936.0,0.0
MA_20 MA_76,-0.1482578054393589,0.7508834724695947,0.010377047320427012,82.0,3142.0,4936.0,0.0
MA_20 MA_77,-0.14926843583670357,0.6674058979131265,0.010377038064980715,82.0,3137.0,4936.0,0.0
MA_20 MA_78,-0.06348009926428018,0.6374497827695027,0.010378911174192526,84.0,3138.0,4936.0,0.0
MA_20 MA_79,-0.06348009926427955,0.6505351179802821,0.010378911174192516,88.0,3136.0,4936.0,0.0
MA_20 MA_80,-0.06348009926427949,0.8040296921924293,0.010378911174192528,84.0,3142.0,4936.0,0.0
MA_20 MA_81,-0.10949575444601561,0.6777542737424207,0.0103677872350284,86.0,3137.0,4936.0,0.0
MA_20 MA_82,-0.13473519596221434,0.6950101311199028,0.010364079613136444,86.0,3140.0,4936.0,0.0
MA_20 MA_83,-0.134735195962215,0.7498315695112794,0.010364079613136446,84.0,3143.0,4936.0,0.0
MA_20 MA_84,-0.1347351959622156,0.8542216163759933,0.010364079613136453,84.0,3142.0,4936.0,0.0
MA_20 MA_85,-0.1357493769888255,0.9729464825328784,0.010364070939666886,86.0,3147.0,4936.0,0.0
MA_20 MA_86,-0.21113373162610277,1.0937308088017987,0.010333487302128196,84.0,3147.0,4936.0,0.0
MA_20 MA_87,-0.21113373162610194,1.0788169472719638,0.010333487302128205,86.0,3144.0,4936.0,0.0
MA_20 MA_88,-0.2992526698057875,0.933162909745866,0.010389906753180798,80.0,3138.0,4936.0,0.0
MA_20 MA_89,-0.2683019423511764,0.8727716540893358,0.01040448187535299,78.0,3137.0,4936.0,0.0
MA_20 MA_90,-0.10898200823519655,1.0051506926773963,0.010473961362260928,74.0,3158.0,4936.0,0.0
MA_20 MA_91,-0.01069069147274938,1.2588588529840194,0.010524576447482859,72.0,3162.0,4936.0,0.0
MA_20 MA_92,0.05229606961792593,1.313974173523377,0.010603787420181438,64.0,3171.0,4936.0,0.0
MA_20 MA_93,0.014859839592989033,1.3072053569087294,0.010650378343527216,66.0,3189.0,4936.0,0.0
MA_20 MA_94,-0.009694406412562594,1.3120093452152908,0.010660895223399051,66.0,3193.0,4936.0,0.0
MA_20 MA_95,-0.16801579567935176,1.3151677958371817,0.010712467258584346,64.0,3200.0,4936.0,0.0
MA_20 MA_96,0.09972971343202221,1.5818772159615757,0.01082962192976515,60.0,3210.0,4936.0,0.0
MA_20 MA_97,0.18295170879973047,1.63241852064919,0.010794179360793594,58.0,3214.0,4936.0,0.0
MA_20 MA_98,0.17711600749775597,1.7034679687685097,0.01079406574604248,58.0,3214.0,4936.0,0.0
MA_20 MA_99,0.1771160074977559,1.657986486580354,0.010794065746042483,58.0,3214.0,4936.0,0.0
MA_20 MA_100,0.24929155501776407,1.7548311549686058,0.010819433401104205,60.0,3222.0,4936.0,0.0
MA_21 MA_31,-0.021034935000715432,0.11604841000822175,0.009858126502092624,204.0,2923.0,4936.0,0.0
MA_21 MA_32,0.05527838020850064,0.19601815594040994,0.009934396979850435,198.0,2953.0,4936.0,0.0
MA_21 MA_33,0.004165286457568275,0.06755959703500425,0.009929200794128956,188.0,2967.0,4936.0,0.0
MA_21 MA_34,0.4500345720186941,0.258263117791127,0.010156412596248913,180.0,2981.0,4936.0,0.0
MA_21 MA_35,0.5246854885501345,0.5316146019082049,0.010197171165890051,166.0,2985.0,4936.0,0.0
MA_21 MA_36,0.5442292434226818,0.4424720012161836,0.010198391949271066,160.0,2996.0,4936.0,0.0
MA_21 MA_37,0.3313136555407861,0.3663372991247169,0.01043958094504276,164.0,2991.0,4936.0,0.0
MA_21 MA_38,0.382414279984212,0.6009512168382924,0.01045093136836374,164.0,2998.0,4936.0,0.0
MA_21 MA_39,0.5186466476607208,0.653994310136043,0.010494141409912545,156.0,3003.0,4936.0,0.0
MA_21 MA_40,0.46143257710397984,0.869008530073436,0.010536392582510053,152.0,3016.0,4936.0,0.0
MA_21 MA_41,0.6737135970332773,0.9659671728934076,0.010460627494701974,142.0,3037.0,4936.0,0.0
MA_21 MA_42,0.6737135970332767,0.7952820192719681,0.010460627494701983,130.0,3034.0,4936.0,0.0
MA_21 MA_43,0.5396486052696645,0.7927076715444048,0.010418026890516274,130.0,3035.0,4936.0,0.0
MA_21 MA_44,0.3948596608098481,1.0283862633945438,0.010192668805752902,130.0,3029.0,4936.0,0.0
MA_21 MA_45,0.39485966080984936,0.8993247387321925,0.010192668805752904,128.0,3042.0,4936.0,0.0
MA_21 MA_46,0.2588595890176058,0.7903214096469238,0.01027549420697376,128.0,3042.0,4936.0,0.0
MA_21 MA_47,0.2588595890176046,0.4231140190985814,0.010275494206973757,126.0,3044.0,4936.0,0.0
MA_21 MA_48,0.289783385266297,0.5170374665877067,0.010215601766531066,118.0,3045.0,4936.0,0.0
MA_21 MA_49,0.2780595240971987,0.45221008914068594,0.010265210784551122,120.0,3048.0,4936.0,0.0
MA_21 MA_50,0.3016015137058963,0.35459969722223317,0.010267466329009019,118.0,3053.0,4936.0,0.0
MA_21 MA_51,0.2912253320606515,0.7139155784038211,0.010268100717470583,110.0,3073.0,4936.0,0.0
MA_21 MA_52,0.35515698243440974,0.8784032327807174,0.010248887234467888,114.0,3083.0,4936.0,0.0
MA_21 MA_53,0.3702337979179354,0.8615173672821352,0.010247631865714903,110.0,3106.0,4936.0,0.0
MA_21 MA_54,0.44544781048703047,0.9060340992885736,0.010259089025893021,110.0,3133.0,4936.0,0.0
MA_21 MA_55,0.44544781048703,0.9686632221814762,0.010259089025893032,110.0,3143.0,4936.0,0.0
MA_21 MA_56,0.3632512699694702,1.1343059889611582,0.010275386090088963,100.0,3160.0,4936.0,0.0
MA_21 MA_57,0.34959424240494763,1.0246801686056863,0.010272334490490212,100.0,3163.0,4936.0,0.0
MA_21 MA_58,0.23436496566145212,1.047254870203973,0.010333434978028449,94.0,3172.0,4936.0,0.0
MA_21 MA_59,0.14579560497062305,1.0608082516441426,0.010370088090643197,94.0,3173.0,4936.0,0.0
